Given input file:
---------------------------------------------------------
0 -2112.341464 6803.754343
1 8232.947159 5968.800670
0 5364.591896 -3295.544886
1 -452.058963 1079.399116
2 268.018204 -2704.310544
0 2714.234559 8323.901360
2 2139.377525 -7167.948893
0 -7255.368464 -5142.264587
2 -1981.112115 -6866.418215
1 9978.490360 -7823.823959
0 6782.244694 258.647888
0 2751.045354 -4079.367646
1 9455.500478 -128.340260
0 534.899584 5427.153956
2 7830.589040 -1995.427558
2 6154.490400 -2950.833055
2 8986.541507 -8604.894475
2 -6155.723080 -8278.883043
2 -3022.141295 7804.652051
1 -845.965255 -9599.539023
2 9412.682634 -5234.400916
2 -4666.685012 7018.395735
1 5204.974727 -2495.860473
0 632.128683 3354.475216
2 8636.701125 -1247.248068
2 -4314.131939 4419.046861
1 -2919.026405 2799.576331
2 -1197.909448 -6680.516674
0 -3393.257406 6584.021867
1 -2992.796429 7867.448292
2 1772.802664 9129.365058
1 -1208.801610 7173.526519
0 6295.337927 -2031.266667
1 -350.186867 8219.440616
2 8402.565074 9005.047483
2 2821.611926 7621.243390
1 -4378.811752 2391.929679
2 -1059.328416 -3850.842525
0 -4475.306559 -6249.337809
2 -6607.858276 -1669.974388
0 -7478.493218 -7936.576231
2 9695.033301 5209.504569
0 -2336.233376 3688.900337
1 -4116.792760 -2626.729166
0 -5111.745286 1689.770013
2 -7490.501906 4642.970317
1 4901.427783 -6717.961327
2 -8949.414752 9002.080634
0 -5198.752552 -6475.786872
2 3131.273060 4653.088234
0 5194.696838 2789.166911
1 404.201397 -7301.951767
1 -5906.898275 -8601.872045
1 1466.372568 6393.545604
1 -6843.857428 -8961.223624
1 7799.112889 -5913.427787
0 -8918.848447 9955.979986
2 -9916.767823 -8553.424011
2 -6392.554686 1877.843585
1 8260.533548 -2166.195387
2 1049.700450 -2818.092626
2 3747.748692 -948.483083
2 5145.876648 616.159761
1 1539.422251 9844.569229
2 2578.198627 4956.185927
0 6664.770840 4956.057339
2 6620.750817 7465.426855
1 8067.326806 4876.224145
2 -54.829619 3337.606691
1 7778.975003 6600.236677
0 -5039.117632 2994.139722
0 4012.399294 -5417.260404
0 -5371.440954 -3424.459134
2 -5526.871735 2661.443871
1 9429.314192 213.719425
2 4385.371522 922.137560
0 1850.798378 -570.331416
2 -3272.977487 -981.648840
0 -9935.370805 -1309.734085
2 6664.865882 1969.625993
2 -340.994406 3509.519609
2 4241.745199 -3900.886334
2 -9182.713944 2436.456425
1 3478.729927 3919.675822
1 -6307.550648 -3057.682539
2 4614.586911 2543.157727
0 -5955.744514 4808.768823
1 3062.606646 3695.130736
2 -8247.127439 648.819455
2 3722.498554 7547.678555
2 -2767.981846 -7774.487360
1 3331.131820 1864.229102
0 -4232.411764 5515.344858
1 9687.264059 -6204.980359
1 -3370.418490 6547.822709
2 9172.739237 -1270.060060
0 3981.508060 5297.428703
0 -2323.361213 3715.715834
2 8325.458243 8861.025487
0 5873.136789 -5929.035673
0 8098.649428 -4054.230952
1 -37.121470 7479.579364
1 -4521.776621 -6744.865131
2 -726.756980 -152.023560
0 -4178.934281 -80.452072
2 4551.005668 3683.568776
0 -151.565638 2062.176527
0 -6435.849805 4485.039764
2 -7574.824326 -29.490353
2 -3503.859999 -2791.147909
2 2441.909049 8169.693089
0 -78.511597 6362.552231
0 3176.623272 -2113.456806
1 -6975.400297 -4821.877608
2 2944.147639 -7843.034360
