Given input file:
---------------------------------------------------------
0 -211.234146 680.375434
1 823.294716 596.880067
0 536.459190 -329.554489
1 -45.205896 107.939912
2 26.801820 -270.431054
0 271.423456 832.390136
2 213.937753 -716.794889
0 -725.536846 -514.226459
2 -198.111212 -686.641821
1 997.849036 -782.382396
0 678.224469 25.864789
0 275.104535 -407.936765
1 945.550048 -12.834026
0 53.489958 542.715396
2 783.058904 -199.542756
2 615.449040 -295.083305
2 898.654151 -860.489448
2 -615.572308 -827.888304
2 -302.214130 780.465205
1 -84.596525 -959.953902
2 941.268263 -523.440092
2 -466.668501 701.839574
1 520.497473 -249.586047
0 63.212868 335.447522
2 863.670113 -124.724807
2 -431.413194 441.904686
1 -291.902641 279.957633
2 -119.790945 -668.051667
0 -339.325741 658.402187
1 -299.279643 786.744829
2 177.280266 912.936506
1 -120.880161 717.352652
0 629.533793 -203.126667
1 -35.018687 821.944062
2 840.256507 900.504748
2 282.161193 762.124339
1 -437.881175 239.192968
2 -105.932842 -385.084253
0 -447.530656 -624.933781
2 -660.785828 -166.997439
0 -747.849322 -793.657623
2 969.503330 520.950457
0 -233.623338 368.890034
1 -411.679276 -262.672917
0 -511.174529 168.977001
2 -749.050191 464.297032
1 490.142778 -671.796133
2 -894.941475 900.208063
0 -519.875255 -647.578687
2 313.127306 465.308823
0 519.469684 278.916691
1 40.420140 -730.195177
1 -590.689827 -860.187204
1 146.637257 639.354560
1 -684.385743 -896.122362
1 779.911289 -591.342779
0 -891.884845 995.597999
2 -991.676782 -855.342401
2 -639.255469 187.784358
1 826.053355 -216.619539
2 104.970045 -281.809263
2 374.774869 -94.848308
2 514.587665 61.615976
1 153.942225 984.456923
2 257.819863 495.618593
0 666.477084 495.605734
2 662.075082 746.542686
1 806.732681 487.622414
2 -5.482962 333.760669
1 777.897500 660.023668
0 -503.911763 299.413972
0 401.239929 -541.726040
0 -537.144095 -342.445913
2 -552.687174 266.144387
1 942.931419 21.371942
2 438.537152 92.213756
0 185.079838 -57.033142
2 -327.297749 -98.164884
0 -993.537080 -130.973409
2 666.486588 196.962599
2 -34.099441 350.951961
2 424.174520 -390.088633
2 -918.271394 243.645643
1 347.872993 391.967582
1 -630.755065 -305.768254
2 461.458691 254.315773
0 -595.574451 480.876882
1 306.260665 369.513074
2 -824.712744 64.881946
2 372.249855 754.767856
2 -276.798185 -777.448736
1 333.113182 186.422910
0 -423.241176 551.534486
1 968.726406 -620.498036
1 -337.041849 654.782271
2 917.273924 -127.006006
0 398.150806 529.742870
0 -232.336121 371.571583
2 832.545824 886.102549
0 587.313679 -592.903567
0 809.864943 -405.423095
1 -3.712147 747.957936
1 -452.177662 -674.486513
2 -72.675698 -15.202356
0 -417.893428 -8.045207
2 455.100567 368.356878
0 -15.156564 206.217653
0 -643.584980 448.503976
2 -757.482433 -2.949035
2 -350.386000 -279.114791
2 244.190905 816.969309
0 -7.851160 636.255223
0 317.662327 -211.345681
1 -697.540030 -482.187761
2 294.414764 -784.303436
2 -337.228359 -423.460959
2 868.989293 -145.344559
0 317.493269 -469.077354
1 -685.455766 -25.146270
2 35.429443 251.330639
0 -147.601248 115.121225
0 -511.346026 -211.223246
0 277.308293 458.720136
1 795.120533 -323.514145
0 -989.182903 -178.424124
1 -412.643863 548.772470
2 442.011579 731.069629
1 972.934226 -101.789776
2 -52.212045 -578.234161
2 -800.881407 -812.160979
1 314.239818 -396.473797
2 -896.983428 -736.595711
0 561.736708 -84.568783
1 -761.777438 -114.879530
0 59.798439 157.269694
0 -391.429092 -276.166318
0 -660.359464 -46.830690
2 237.850761 51.494231
1 659.616600 -532.687580
0 847.455622 -802.325157
0 -549.018176 -36.533292
1 -285.613886 -418.342675
0 629.817331 -311.498084
1 -485.062199 -927.345200
2 672.207495 251.928216
2 -603.958824 -557.981271
1 349.210487 -780.534620
0 -599.295283 438.923609
2 -131.982863 -368.683938
2 65.691980 -228.503530
2 -970.841313 110.795472
1 -389.183988 -235.665707
0 299.317929 -479.110316
2 371.972729 839.181784
1 -376.099055 395.696446
2 65.919674 -987.990455
0 285.385054 236.893553
2 -275.691338 -198.581905
2 355.624725 603.793399
1 -872.878806 -934.214699
1 237.916668 -624.767176
0 -997.749041 135.662172
0 -476.859357 -389.522367
0 -637.677573 715.110425
0 758.018873 334.681017
